algorithm_id,instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,suite_names,depot_count,customer_count,salesman_count,return_to_depot,best_objective,mean_objective,median_objective,min_gap_to_best_observed,mean_gap_to_best_observed,median_gap_to_best_observed,min_time_ratio_to_fastest,mean_time_ratio_to_fastest,median_time_ratio_to_fastest,min_time_gap_to_fastest,mean_time_gap_to_fastest,median_time_gap_to_fastest,total_wall_time_s,mean_wall_time_ms,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
cheapest_insertion,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,27264.52668208378,27264.52668208378,27264.52668208378,0.8931374053806119,0.8931374053806119,0.8931374053806119,3.088932806324111,3.088932806324111,3.088932806324111,2.088932806324111,2.088932806324111,2.088932806324111,0.001563,1.563,1.563,1.563,3.126
cheapest_insertion_2opt,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,26713.872915466505,26713.872915466505,26713.872915466505,0.8549022562745057,0.8549022562745057,0.8549022562745057,3.6719367588932808,3.6719367588932808,3.6719367588932808,2.6719367588932808,2.6719367588932808,2.6719367588932808,0.001858,1.858,1.858,1.858,3.716
cheapest_insertion_tabu,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,26582.437334499235,26582.437334499235,26582.437334499235,0.8457759062142796,0.8457759062142796,0.8457759062142796,4.318181818181818,4.318181818181818,4.318181818181818,3.3181818181818183,3.3181818181818183,3.3181818181818183,0.002185,2.185,2.185,2.185,4.37
cheapest_insertion_vnd,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,23895.950797022655,23895.950797022655,23895.950797022655,0.6592372506031985,0.6592372506031985,0.6592372506031985,17464.671936758892,17464.671936758892,17464.671936758892,17463.671936758892,17463.671936758892,17463.671936758892,8.837124,8837.124,8837.124,8837.124,17674.248
nearest_neighbour,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,28860.331394378878,28860.331394378878,28860.331394378878,1.0039435685594404,1.0039435685594404,1.0039435685594404,1.0,1.0,1.0,0.0,0.0,0.0,0.000506,0.506,0.506,0.506,1.012
nearest_neighbour_2opt,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,27756.013420544205,27756.013420544205,27756.013420544205,0.9272642376442863,0.9272642376442863,0.9272642376442863,1.8201581027667983,1.8201581027667983,1.8201581027667983,0.8201581027667985,0.8201581027667985,0.8201581027667985,0.000921,0.921,0.921,0.921,1.842
nearest_neighbour_2opt_v2,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,26818.150973255448,26818.150973255448,26818.150973255448,0.8621428988157317,0.8621428988157317,0.8621428988157317,1.66798418972332,1.66798418972332,1.66798418972332,0.6679841897233202,0.6679841897233202,0.6679841897233202,0.000844,0.844,0.844,0.844,1.688
random_insertion,g03_i11_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,14401.768516428576,14401.768516428576,14401.768516428576,0.0,0.0,0.0,2.0632411067193677,2.0632411067193677,2.0632411067193677,1.0632411067193677,1.0632411067193677,1.0632411067193677,0.001044,1.044,1.044,1.044,2.088
cheapest_insertion,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,27649.0030095027,27649.0030095027,27649.0030095027,0.9409728926096211,0.9409728926096211,0.9409728926096211,3.555793991416309,3.555793991416309,3.555793991416309,2.555793991416309,2.555793991416309,2.555793991416309,0.001657,1.657,1.657,1.657,3.314
cheapest_insertion_2opt,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,27206.935633102083,27206.935633102083,27206.935633102083,0.9099395568323508,0.9099395568323508,0.9099395568323508,4.261802575107296,4.261802575107296,4.261802575107296,3.2618025751072963,3.2618025751072963,3.2618025751072963,0.001986,1.986,1.986,1.986,3.972
cheapest_insertion_tabu,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,26687.71584908843,26687.71584908843,26687.71584908843,0.8734900860962539,0.8734900860962539,0.8734900860962539,5.424892703862661,5.424892703862661,5.424892703862661,4.424892703862661,4.424892703862661,4.424892703862661,0.002528,2.528,2.528,2.528,5.056
cheapest_insertion_vnd,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,24279.51794632538,24279.51794632538,24279.51794632538,0.704433471371451,0.704433471371451,0.704433471371451,19471.598712446354,19471.598712446354,19471.598712446354,19470.598712446354,19470.598712446354,19470.598712446354,9.073765,9073.765,9073.765,9073.765,18147.53
nearest_neighbour,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,29841.827810459756,29841.827810459756,29841.827810459756,1.09491021524787,1.09491021524787,1.09491021524787,1.0,1.0,1.0,0.0,0.0,0.0,0.00046600000000000005,0.466,0.466,0.466,0.932
nearest_neighbour_2opt,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,28535.19052965183,28535.19052965183,28535.19052965183,1.0031836693883438,1.0031836693883438,1.0031836693883438,1.6072961373390557,1.6072961373390557,1.6072961373390557,0.6072961373390557,0.6072961373390557,0.6072961373390557,0.000749,0.749,0.749,0.749,1.498
nearest_neighbour_2opt_v2,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,27173.531860908948,27173.531860908948,27173.531860908948,0.9075945964619716,0.9075945964619716,0.9075945964619716,1.7360515021459229,1.7360515021459229,1.7360515021459229,0.7360515021459227,0.7360515021459227,0.7360515021459227,0.000809,0.809,0.809,0.809,1.618
random_insertion,g03_i12_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,14244.919707419951,14244.919707419951,14244.919707419951,0.0,0.0,0.0,2.1459227467811157,2.1459227467811157,2.1459227467811157,1.145922746781116,1.145922746781116,1.145922746781116,0.001,1.0,1.0,1.0,2.0
cheapest_insertion,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,27264.52668208378,27264.52668208378,27264.52668208378,0.8931374053806119,0.8931374053806119,0.8931374053806119,3.8565656565656568,3.8565656565656568,3.8565656565656568,2.8565656565656568,2.8565656565656568,2.8565656565656568,0.001909,1.909,1.909,1.909,3.818
cheapest_insertion_2opt,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,26713.872915466505,26713.872915466505,26713.872915466505,0.8549022562745057,0.8549022562745057,0.8549022562745057,3.735353535353535,3.735353535353535,3.735353535353535,2.735353535353535,2.735353535353535,2.735353535353535,0.001849,1.849,1.849,1.849,3.698
cheapest_insertion_tabu,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,26582.437334499235,26582.437334499235,26582.437334499235,0.8457759062142796,0.8457759062142796,0.8457759062142796,4.35959595959596,4.35959595959596,4.35959595959596,3.3595959595959597,3.3595959595959597,3.3595959595959597,0.0021579999999999998,2.158,2.158,2.158,4.316
cheapest_insertion_vnd,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,23895.950797022655,23895.950797022655,23895.950797022655,0.6592372506031985,0.6592372506031985,0.6592372506031985,17892.521212121213,17892.521212121213,17892.521212121213,17891.521212121213,17891.521212121213,17891.521212121213,8.856798000000001,8856.798,8856.798,8856.798,17713.596
nearest_neighbour,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,28860.331394378878,28860.331394378878,28860.331394378878,1.0039435685594404,1.0039435685594404,1.0039435685594404,1.0,1.0,1.0,0.0,0.0,0.0,0.000495,0.495,0.495,0.495,0.99
nearest_neighbour_2opt,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,27756.013420544205,27756.013420544205,27756.013420544205,0.9272642376442863,0.9272642376442863,0.9272642376442863,1.5535353535353535,1.5535353535353535,1.5535353535353535,0.5535353535353535,0.5535353535353535,0.5535353535353535,0.000769,0.769,0.769,0.769,1.538
nearest_neighbour_2opt_v2,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,26818.150973255448,26818.150973255448,26818.150973255448,0.8621428988157317,0.8621428988157317,0.8621428988157317,1.698989898989899,1.698989898989899,1.698989898989899,0.6989898989898989,0.6989898989898989,0.6989898989898989,0.000841,0.841,0.841,0.841,1.682
random_insertion,g03_i13_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,14401.768516428576,14401.768516428576,14401.768516428576,0.0,0.0,0.0,2.006060606060606,2.006060606060606,2.006060606060606,1.006060606060606,1.006060606060606,1.006060606060606,0.000993,0.993,0.993,0.993,1.986
cheapest_insertion,g03_i14_c500_d4_m13_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,13,True,27649.0030095027,27649.0030095027,27649.0030095027,0.9409728926096211,0.9409728926096211,0.9409728926096211,3.6150627615062763,3.6150627615062763,3.6150627615062763,2.6150627615062763,2.6150627615062763,2.6150627615062763,0.001728,1.728,1.728,1.728,3.456
