algorithm_id,instance_type,runs,successful_runs,feasible_runs,unique_instances,median_gap_to_best_observed,mean_gap_to_best_observed,median_time_gap_to_fastest,mean_time_gap_to_fastest,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
cheapest_insertion,adversarial,69,69,69,69,0.9075800036836923,0.8664593097773291,3.2339544513457557,5.655532663529125,2.045,4.7538,4.09
cheapest_insertion_2opt,adversarial,69,69,69,69,0.8674924457531115,0.8352319401345009,3.7586912065439675,6.303253157828623,2.327,5.0338,4.654
cheapest_insertion_tabu,adversarial,69,69,69,69,0.8209513905922976,0.8048943102228826,4.424892703862661,6.913108285102177,2.623,5.483800000000002,5.246
cheapest_insertion_vnd,adversarial,67,67,67,67,0.5853054255502868,0.588178030995044,17732.0556621881,17357.80601284442,8875.792,9324.7724,17751.584
lkh_mdmtsp,adversarial,67,67,67,67,0.3151652398434115,0.34465009619575643,12514.729674796748,11981.83163567778,6237.546,6564.369,12475.092
lkh_mdmtsp_v2,adversarial,67,67,67,67,0.21345106384764967,0.26912080246278475,12347.387163561076,11883.323796383633,6132.289,6483.450000000001,12264.578
lkh_mdmtsp_v3,adversarial,67,67,67,67,0.033563698753584725,0.04993072211107634,11682.711382113821,11284.247702497736,5838.162,6129.5018,11676.324
lkh_mdmtsp_v4_portfolio,adversarial,67,67,67,67,0.030018585019119363,0.04326802908730326,83934.04402515723,79258.09564581593,41058.914,49050.4648,82117.828
lkh_mdmtsp_v5_portfolio,adversarial,69,69,69,69,0.0,0.01444277688673202,20391.105809128632,20357.658715036843,9901.66,12101.589800000002,19803.32
nearest_neighbour,adversarial,69,69,69,69,1.0211111582466388,0.9743372420854346,0.0,0.0,0.487,0.5831999999999999,0.974
nearest_neighbour_2opt,adversarial,69,69,69,69,0.9433233427962672,0.9028414579576883,0.5969162995594713,0.614759970296973,0.775,0.9286,1.55
nearest_neighbour_2opt_v2,adversarial,69,69,69,69,0.8622215673256257,0.8350241172471446,0.7468879668049793,0.7336649880253994,0.854,0.9336,1.708
random_insertion,adversarial,69,69,69,69,0.016268680613819454,0.034239511824134455,1.0106837606837606,1.0368063425133092,0.984,1.1054,1.968
cheapest_insertion,clustered,2,2,2,2,1.2934059422065933,1.2934059422065933,18.515190032788716,18.515190032788716,8114.807500000001,11167.1999,811.48075
cheapest_insertion_2opt,clustered,2,2,2,2,1.2821029497183605,1.2821029497183605,19.673843652818064,19.673843652818064,8596.5835,11777.8711,859.65835
cheapest_insertion_tabu,clustered,2,2,2,2,1.2402644349712586,1.2402644349712586,19.634291525603295,19.634291525603295,8580.1265,11719.820500000002,858.01265
lkh_mdmtsp_v5_portfolio,clustered,2,2,2,2,0.05996436404244403,0.05996436404244403,2.824084345502193,2.824084345502193,1589.9275,1682.4375,158.99275
nearest_neighbour,clustered,2,2,2,2,1.4408559519257818,1.4408559519257818,0.0,0.0,415.774,415.8524,41.5774
nearest_neighbour_2opt,clustered,2,2,2,2,1.4147856666106347,1.4147856666106347,0.8798688961628631,0.8798688961628631,781.601,783.0706,78.1601
nearest_neighbour_2opt_v2,clustered,2,2,2,2,1.386025947510896,1.386025947510896,0.8766218779105304,0.8766218779105304,780.251,781.8078,78.02510000000001
random_insertion,clustered,2,2,2,2,0.0,0.0,1.175043437235281,1.175043437235281,904.3165,938.1209,90.43165
cheapest_insertion,grid,2,2,2,2,0.9532163825540877,0.9532163825540877,5.500131461512093,5.500131461512093,2692.2675000000004,4149.4623,269.22675
cheapest_insertion_2opt,grid,2,2,2,2,0.9308120706079726,0.9308120706079726,5.662987803343489,5.662987803343489,2756.1349999999998,3919.4974,275.6135
cheapest_insertion_tabu,grid,2,2,2,2,0.8880918429946583,0.8880918429946583,5.476668409119257,5.476668409119257,2679.024,3806.1456000000003,267.9024
lkh_mdmtsp_v5_portfolio,grid,2,2,2,2,0.08735248348008158,0.08735248348008158,2.9400460684305303,2.9400460684305303,1620.9585000000002,1747.0981000000002,162.09584999999998
nearest_neighbour,grid,2,2,2,2,1.1128182619320963,1.1128182619320963,0.0,0.0,411.7845,414.6449,41.17845
