algorithm_id,runs,successful_runs,feasible_runs,feasible_rate,objective_comparable_runs,time_comparable_runs,unique_instances,unique_instance_types,instance_types,unique_suites,suite_names,best_run_count,best_instance_coverage,fastest_run_count,fastest_instance_coverage,min_gap_to_best_observed,mean_gap_to_best_observed,median_gap_to_best_observed,min_time_ratio_to_fastest,mean_time_ratio_to_fastest,median_time_ratio_to_fastest,min_time_gap_to_fastest,mean_time_gap_to_fastest,median_time_gap_to_fastest,total_wall_time_s,mean_wall_time_ms,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
random_insertion,152,152,152,1.0,152,152,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",142,132,4,4,0.0,0.002493603546648547,0.0,1.0,2.113258720370669,2.0443309545049067,0.0,1.113258720370669,1.0443309545049062,113.71368700000001,748.1163618421053,1.008,7.387200000000001,2.016
lkh_mdmtsp_v2,122,122,122,1.0,122,122,122,2,"adversarial,random",1,research_until_25000,4,4,0,0,0.0,0.18228553040701867,0.16134490869540394,8.8,10629.546700630193,12427.534304313467,7.8,10628.546700630193,12426.534304313467,859.511909,7045.179581967213,6215.705,16302.914900000002,12431.41
lkh_mdmtsp,124,124,124,1.0,124,124,124,2,"adversarial,random",1,research_until_25000,6,6,0,0,0.0,0.2439301674675226,0.21338317393480993,8.4,10768.914697022443,12559.947473381639,7.4,10767.914697022443,12558.947473381639,957.898961,7724.991620967742,6257.332,16347.1538,12514.664
cheapest_insertion_vnd,137,137,137,1.0,137,137,127,2,"adversarial,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",11,11,0,0,0.0,0.42453428452932956,0.38003510066168217,4.0,16012.785974905615,18208.024390243903,3.0,16011.785974905615,18207.024390243903,1713.142727,12504.691437956204,9004.954,24546.557399999998,18009.908
cheapest_insertion_tabu,152,152,152,1.0,152,152,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",3,3,0,0,0.0,0.696468599801638,0.6650770751133218,1.2,10.258247088802937,5.493847415914685,0.2,9.258247088802937,4.493847415914685,475.807213,3130.310611842105,2.8465,71.26760000000016,5.693
cheapest_insertion_2opt,152,152,152,1.0,152,152,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",2,2,0,0,0.0,0.7251320282522382,0.6826959944302291,1.3478260869565217,9.809291115029732,4.815623587425518,0.34782608695652173,8.809291115029732,3.815623587425519,460.248895,3027.9532565789473,2.436,70.13410000000015,4.917
nearest_neighbour_2opt_v2,152,152,152,1.0,152,152,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",3,3,2,2,0.0,0.7423515388218622,0.7038265331136169,1.0,1.8000140752514757,1.7364468037045404,0.0,0.8000140752514757,0.7364468037045403,50.287707000000005,330.84017763157897,0.8594999999999999,7.111900000000001,1.73
cheapest_insertion,152,152,152,1.0,152,152,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",0,0,5,5,0.0069928837311707985,0.7520196494864358,0.7061146071752664,1.0,9.084544578466646,4.294949037860668,0.0,8.084544578466646,3.2949490378606674,454.593777,2990.748532894737,2.1710000000000003,69.41730000000015,4.3420000000000005
nearest_neighbour_2opt,157,157,157,1.0,157,157,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",3,3,2,2,0.0,0.8032335636849007,0.7706768784108948,1.0,1.7547632318409199,1.6166666666666667,0.0,0.7547632318409198,0.6166666666666667,29.661855,188.9290127388535,0.781,6.770200000000001,1.598
nearest_neighbour,152,152,152,1.0,152,152,142,5,"adversarial,clustered,grid,line,random",4,"research_group_03,research_group_03_hard,research_group_03_traps,research_until_25000",0,0,132,131,0.031512586027837096,0.8575255682795767,0.8365791126618274,1.0,1.1795488442532231,1.0,0.0,0.17954884425322315,0.0,30.839506,202.89148684210528,0.4985,3.8828000000000022,1.0070000000000001
