instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
group_01_instance_01_customers_10_depots_1_salesmen_3_random,random,16,16,16,1.0,13,1,2880.8864214080195,"lkh_mdmtsp_v4_portfolio,lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.007,cheapest_insertion,1,10,3,True,0.1265,1.9575
group_01_instance_02_customers_10_depots_1_salesmen_3_random,random,16,16,16,1.0,13,1,2779.77408637514,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio,lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.008,cheapest_insertion,1,10,3,True,0.093,1.7719999999999998
group_01_instance_03_customers_10_depots_2_salesmen_6_random,random,16,16,16,1.0,13,1,2973.472263507747,"lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.01,nearest_neighbour,2,10,6,True,0.1845,5.9085
group_01_instance_04_customers_10_depots_2_salesmen_5_random,random,16,16,16,1.0,13,1,3172.7665995950247,"cheapest_insertion_vnd,lkh_mdmtsp_v3,lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.006,cheapest_insertion,2,10,5,True,0.1755,11.980500000000001
group_01_instance_05_customers_10_depots_2_salesmen_4_random,random,16,16,16,1.0,13,1,3111.6988237915116,"lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.004,nearest_neighbour_2opt,2,10,4,True,0.14500000000000002,4.7715
group_01_instance_06_customers_10_depots_3_salesmen_4_random,random,15,15,15,1.0,13,1,3039.240692424167,"lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.006,cheapest_insertion,3,10,4,True,0.084,11.976999999999997
group_01_instance_07_customers_10_depots_3_salesmen_5_random,random,15,15,15,1.0,13,1,3128.669721317914,"cheapest_insertion_vnd,lkh_mdmtsp,lkh_mdmtsp_v2,lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio,lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.006,cheapest_insertion,3,10,5,True,0.093,5.659799999999999
group_01_instance_08_customers_10_depots_2_salesmen_2_random,random,15,15,15,1.0,13,1,2945.776395409726,"cheapest_insertion_tabu,lkh_mdmtsp_v4_portfolio,lkh_mdmtsp_v5_portfolio,nearest_neighbour_2opt,nearest_neighbour_2opt_v2,simulated_annealing_v1",0.005,"cheapest_insertion,nearest_neighbour",2,10,2,True,0.056,5.750799999999998
group_01_instance_09_customers_10_depots_3_salesmen_3_random,random,15,15,15,1.0,13,1,2492.6167654443693,"cheapest_insertion_vnd,lkh_mdmtsp_v4_portfolio,lkh_mdmtsp_v5_portfolio,simulated_annealing_v1",0.006,cheapest_insertion,3,10,3,True,0.095,7.016799999999998
group_01_instance_10_customers_10_depots_1_salesmen_1_random,random,15,15,15,1.0,13,1,2346.775519352508,"cheapest_insertion_2opt,cheapest_insertion_tabu,cheapest_insertion_vnd,lkh_mdmtsp,lkh_mdmtsp_v2,lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio,lkh_mdmtsp_v5_portfolio,nearest_neighbour_2opt,nearest_neighbour_2opt_v2,simulated_annealing_v1",0.006,"cheapest_insertion,nearest_neighbour,nearest_neighbour_2opt_v2",1,10,1,True,0.042,0.7221999999999998
